,APINO,60_Interpol_OIL,90_Interpol_OIL,180_Interpol_OIL,365_Interpol_OIL,730_Interpol_OIL,60_Interpol_GAS,90_Interpol_GAS,180_Interpol_GAS,365_Interpol_GAS,730_Interpol_GAS,60_Interpol_WATER,90_Interpol_WATER,180_Interpol_WATER,365_Interpol_WATER,730_Interpol_WATER
446,49009290290000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447,49009290330000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
448,49009290390000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
449,49009290510000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,49009290520000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451,49009290530000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452,49009290600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453,49009290610000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454,49009290620000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455,49009290640000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456,49009290650000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
457,49009290660000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,49009290700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
459,49009290800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,49009290810000,0,0,0,0,20103,0,0,0,0,116284,0,0,0,0,17014
461,49009290830000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
462,49009290840000,0,0,0,0,3083,0,0,0,0,18131,0,0,0,0,18013
463,49009290880000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
464,49009290890000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
465,49009290910000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
466,49009290950000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
467,49009290960000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
468,49009290970000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
469,49009291000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470,49009291010000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
471,49009291020000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
472,49009291030000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
473,49009291040000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
474,49009291050000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475,49009291060000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
476,49009291070000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
477,49009291110000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
478,49009291140000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
479,49009291170000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,49009291230000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481,49009291300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
482,49009291450000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
483,49009291470000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
484,49009291540000,18842,27479,54958,111442,234377,7617,11284,22569,45766,97647,17973,26375,52751,106968,215692
485,49009291550000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486,49009291560000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
487,49009291630000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
488,49009291640000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
489,49009291650000,24456,36685,73370,148778,295069,200860,301290,602580,1221898,2202035,31830,47745,95490,193632,320328
490,49009291660000,26200,38203,76407,154936,309873,195373,285032,570065,1155966,2311933,29476,42851,85703,173787,347574
491,49009291670000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
492,49009291740000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
493,49009291750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
494,49009291760000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
495,49009291770000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
496,49009291780000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
497,49009291790000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
498,49009291900000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499,49009291950000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,49009291960000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501,49009291970000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
502,49009291980000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503,49009292000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504,49009292120000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505,49009292210000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506,49009292240000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507,49009292260000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
508,49009292290000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509,49009292420000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,49009292440000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511,49009292480000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
512,49009292490000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
513,49009292690000,13818,20727,41455,84063,168126,37797,56696,113393,229937,459874,30287,45431,90862,184249,368498
514,49009292730000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
515,49009292750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
516,49009292860000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
517,49009292870000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
518,49009292890000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519,49009292900000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,49009293030000,13770,20655,60984,148938,322470,1680,2520,22840,69182,160615,40800,61200,128962,269939,548082
521,49009293040000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
522,49009293060000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
523,49009293070000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
524,49009293080000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
525,49009293150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
526,49009293170000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
527,49009293180000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
528,49009293190000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
529,49009293200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530,49009293230000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
531,49009293400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,49009293460000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
533,49009293570000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
534,49009293640000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
535,49009293650000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
536,49009293660000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
537,49009293670000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
